ID,Card ID,Spending Category,CB Percentage,Total Max Cap,Category Max Cap,RP1,Spend Conversion,RP2,Threshold 2,RP3,Threshold 3,Category Max Points,Total Max Points,Cash Conversion,Other Conversion,,,,,,,,,,,,,,,,,,,,,,,,
86,39,idfc_1RP,0,0,0,1,150,0,0,0,0,2147483647,1000000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
87,40,idfc_3RP,0,0,0,3,150,0,0,0,0,10000000,100000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
88,40,idfc_30RP,0,0,0,30,150,0,0,0,0,400,100000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
89,40,idfc_30RP_fuel,0,0,0,30,150,0,0,0,0,2400,2400,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
90,41,indus_4RP,0,0,0,4,100,0,0,0,0,2147483647,2147483647,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,
91,41,indus_10RP,0,0,0,10,100,0,0,0,0,100000000,100000000,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,
92,43,indus_1.5RP,0,0,0,2,100,0,0,0,0,100000000,1000000000,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,
93,44,indus_2RP,0,0,0,2,100,0,0,0,0,2147483647,2147483647,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,
94,45,icici_2RP,0,0,0,2,100,0,0,0,0,100000000,1000000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
95,45,icici_1RP,0,0,0,1,100,0,0,0,0,10000000,10000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
96,46,icici_6P,6,1000000000,1000000000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
99,47,idfc_6CV,0,0,0,6,200,4,100000,4,10000000,10000000,10000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
100,47,idfc_1CV,0,0,0,1,200,0,0,0,0,1000000000,100000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
102,32,scb_10P,11,500,500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
103,49,axis_10RP,0,0,0,10,200,10,200000,10,350000,100000000,100000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
104,50,5_ER,0,0,0,5,100,0,0,0,0,10000000,10000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
105,50,15_ER,0,0,0,15,100,15,200000,15,600000,100000000,1000000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
106,51,AXIS_5RP,0,0,0,5,100,5,200000,5,600000,10000000,10000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
107,51,AXIS_10RP,0,0,0,10,100,10,200000,10,600000,1000000000,1000000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
108,66,amex_1MR,0,0,0,1,50,1,2000000,0,0,10000,5000000,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,
109,70,hdfc_1RP,0,0,0,1,100,1,200000,1,100000000,2147483647,1000000000,1,1,,,,,,,,,,,,,,,,,,,,,,,,
110,70,hdfc_2.5RP,0,0,0,3,100,3,100000000,3,2147483647,999999999,2147483647,1,1,,,,,,,,,,,,,,,,,,,,,,,,
111,70,hdfc_2RP,0,0,0,2,100,2,300000,2,2147483647,100000000,2147483647,1,1,,,,,,,,,,,,,,,,,,,,,,,,
112,70,hdfc_2GRP,0,0,0,2,100,2,300000,2,450000000,1000,1000000000,1,1,,,,,,,,,,,,,,,,,,,,,,,,
113,69,hdfc_1RP,0,0,0,1,150,1,10000000,1,2147483647,2147483647,2147483647,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,
114,69,hdfc_10RP,0,0,0,10,150,10,1000000,10,2147483647,2500,1000000,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,
115,68,axis_2ER,0,0,0,2,200,2,100000000,2,1000000000,100000000,2147483647,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
116,68,axis_10ER,0,0,0,10,200,10,2147483647,10,2147483647,500,1000000000,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
117,74,axis_2EM,0,0,0,2,100,2,2147483647,2,2147483647,2147483647,2147483647,1,1,,,,,,,,,,,,,,,,,,,,,,,,
118,74,axis_5EM,0,0,0,5,100,2,200000,2,2147483647,1000000000,1000000000,1,1,,,,,,,,,,,,,,,,,,,,,,,,
119,75,indus_0.5RP,0,0,0,1,100,1,100000,1,200000,2147483647,2147483647,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
120,46,icici_3P,3,1000000000,2147483647,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
121,46,icici_1P,1,2147483647,100000000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
122,65,sbi_1RP,0,0,0,1,150,0,0,0,0,2000,0,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
123,65,sbi_10RP,0,0,0,10,150,0,0,0,0,2000,0,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
124,65,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
125,54,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
126,54,hdfc_2MB,0,0,0,2,150,0,0,0,0,2000,68670,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
