ID,Category Name,Flipkart Spends,Amazon Spends,Grocery spends online,Online food ordering,Other online spends,Other offline spends,Dining or going out,Fuel,School fees,Rent,Mobile phone bills,Electricity bills,Water bills,OTT channels,New monthly category 1,New monthly category 2,New monthly category 3,Hotels annual,Flights annual,Insurance health annual,Insurance car or bike annual,Large electronics purchase like mobile TV etc,All pharmacy,New category 1,New category 2,New category 3
43,AXIS ICC,5_ER,5_ER,15_ER,15_ER,15_ER,5_ER,5_ER,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,5_ER,no_benefit,no_benefit,no_benefit,5_ER,5_ER,no_benefit,no_benefit,axis_10P,15_ER,no_benefit,no_benefit,no_benefit
44,AXIS SSCC,AXIS_5RP,AXIS_5RP,AXIS_10RP,AXIS_10RP,AXIS_5RP,AXIS_5RP,AXIS_5RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,AXIS_5RP,no_benefit,no_benefit,no_benefit,AXIS_5RP,AXIS_5RP,no_benefit,no_benefit,AXIS_10P,AXIS_10RP,no_benefit,no_benefit,no_benefit
45,AXIS SCC,axis_20ER,axis_20ER,axis_20ER,axis_10ER,axis_10ER,axis_20ER,axis_10ER,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,axis_10ER,no_benefit,no_benefit,no_benefit,axis_10ER,axis_10ER,no_benefit,no_benefit,axis_10ER,axis_10ER,no_benefit,no_benefit,no_benefit
47,HDFC MBCC,hdfc_2MB,hdfc_2MB,hdfc_2MB,hdfc_2MB,hdfc_2MB,hdfc_2MB,hdfc_4MB,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,hdfc_2MB,no_benefit,no_benefit,no_benefit,hdfc_8MB,hdfc_4MB,no_benefit,no_benefit,hdfc_2MB,hdfc_2MB,no_benefit,no_benefit,no_benefit
48,HDFC IRCC,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_1RP,no_benefit,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_1RP,no_benefit,no_benefit,no_benefit,hdfc_1RP,hdfc_1RP,no_benefit,no_benefit,hdfc_1RP,hdfc_1RP,hdfc_5RP,no_benefit,no_benefit
49,HDFC RCC,hdfc_1P,hdfc_1P,hdfc_3P,hdfc_1P,hdfc_1P,hdfc_1P,hdfc_3P,hdfc_2P,hdfc_2P,no_benefit,hdfc_2P,hdfc_2P,hdfc_2P,hdfc_1P,no_benefit,no_benefit,no_benefit,hdfc_1P,hdfc_1P,no_benefit,no_benefit,hdfc_1P,hdfc_1P,no_benefit,no_benefit,no_benefit
50,IDFC WOWCC,idfc_1RP,idfc_1RP,idfc_1RP,idfc_1RP,idfc_1RP,idfc_1RP,idfc_1RP,idfc_1RP,idfc_1RP,no_benefit,idfc_1RP,idfc_1RP,idfc_1RP,idfc_1RP,no_benefit,no_benefit,no_benefit,idfc_1RP,idfc_1RP,no_benefit,no_benefit,idfc_1RP,idfc_1RP,no_benefit,no_benefit,no_benefit
51,IDFC MCC,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,no_benefit,no_benefit,idfc_3RP_rent,idfc_1RP,idfc_1RP,idfc_1RP,idfc_3RP,no_benefit,no_benefit,no_benefit,idfc_3RP,idfc_3RP,idfc_1RP,idfc_1RP,idfc_3RP,idfc_3RP,no_benefit,no_benefit,no_benefit
52,IDFC ACC,idfc_5RP,idfc_5RP,idfc_5RP,idfc_5RP,idfc_5RP,idfc_5RP,idfc_5RP,no_benefit,idfc_3RP,idfc_3RP_rent,idfc_1RP,idfc_1RP,idfc_1RP,idfc_5RP,no_benefit,no_benefit,no_benefit,idfc_5RP,idfc_5RP,idfc_1RP,idfc_1RP,idfc_5RP,idfc_5RP,no_benefit,no_benefit,no_benefit
53,Indus PAECC,indus_4RP,indus_4RP,indus_4RP,indus_1.5RP,indus_4RP,indus_4RP,indus_1.5RP,no_benefit,no_benefit,no_benefit,indus_1.4RP,indus_1.4RP,indus_1.4RP,indus_4RP,no_benefit,no_benefit,no_benefit,indus_4RP,indus_2.5RP,indus_1.4RP,indus_1.4RP,indus_2RP,indus_1.4RP,no_benefit,no_benefit,no_benefit
